name,name,borough,rating,review_count,categories_list,GRADE
BASIL CUCINA & CATERING,Basil Cucina & Catering,Staten Island,4.0,130,Italian; Sandwiches; Salad,A
BATIK RESTAURANT,Batik Restaurant,Queens,3.7,35,Indonesian; Malaysian,
BATTLE HILL TAVERN,Battle Hill Tavern,Brooklyn,4.3,58,Pizza; Beer Bar; Italian,A
BAY RIDGE FISH BAR,Bay Ridge Fish Bar,Brooklyn,4.4,40,Fish & Chips; Seafood; Burgers,A
BAYAHIBE FUSION,Bayahibe Fusion,Bronx,3.4,9,Latin American; Mediterranean; Coffee & Tea,A
BBF,BBF,Manhattan,4.5,42,Japanese; Cocktail Bars; Tapas Bars,C
BBQ CHICKEN,Bbq Chicken,Queens,3.6,14,Barbeque; Korean; Chicken Wings,
BCD TOFU HOUSE,BCD Tofu House,Manhattan,3.9,2616,Korean,A
BEAT MAZESOBA,Beat Mazesoba,Queens,4.5,394,Ramen; Noodles; Beer Bar,A
BECCOFINO,Beccofino,Bronx,3.9,179,Italian,A
BED STUY FISH FRY,Bed Stuy Fish Fry,Brooklyn,2.2,184,Soul Food; Seafood,A
BED-STUY FISH FRY,Bed-Stuy Fish Fry,Brooklyn,2.6,669,Seafood,A
BEDS THAI,Beds Thai,Brooklyn,4.1,66,Thai; Noodles,A
BEIJA FLOR,Beija Flor,Queens,4.0,321,Brazilian; Cocktail Bars,A
BEIJING DUMPLING HOUSE,Beijing Dumpling House,Queens,4.4,415,Bubble Tea; Chinese; Noodles,A
BELLA NOTTE,Bella Notte,Bronx,3.9,19,Italian; Pasta Shops; Pizza,A
BELLI OSTERIA,Belli Osteria,Brooklyn,4.2,327,Italian; Breakfast & Brunch; Burgers,A
BENATERI'S ITALIAN GOURMET DELI,Benateri's Italian Gourmet Deli,Queens,4.4,208,Delis; Sandwiches; Italian,A
BENEMON,Benemon,Manhattan,4.3,737,Japanese; Tapas/Small Plates; Cocktail Bars,A
BERSI ETHIOPIAN RESTAURANT,Bersi Ethiopian Restaurant,Brooklyn,4.8,29,Ethiopian,A
BHOJAN,Bhojan,Queens,5.0,2,Indian,
BIG 5 SEAFOOD RESTAURANT,Big 5 Seafood Restaurant,Brooklyn,3.9,19,Seafood,A
BIGOI VENEZIA,Bigoi Venezia,Manhattan,4.6,399,Italian; Pasta Shops,A
BIJAN'S,Bijan's,Brooklyn,3.9,743,New American; Cocktail Bars; Mediterranean,A
BIRD DOG,Bird Dog,Manhattan,4.4,292,Southern; Tuscan,
BIRDS OF A FEATHER,Birds of a Feather,Brooklyn,4.2,730,Szechuan,A
BITE,Bite,Manhattan,3.9,301,Sandwiches; Breakfast & Brunch; Mediterranean,A
BITE BURGER,Bite Burger,Staten Island,4.4,7,Burgers; Chicken Wings; Fast Food,A
BITES OF XI'AN,Bites of Xi'an,Manhattan,4.0,103,Chinese; Noodles,A
BITES OF XIAN,Bites Of Xian,Manhattan,4.3,9,Noodles; Burgers; Chinese,A
BK ASIAN EXPRESS,BK Asian Express,Brooklyn,4.5,2,Chinese; Noodles; Soup,A
BK SEAFOOD MARKET,BK Seafood Market,Brooklyn,4.3,71,Cantonese; Seafood,A
BK TACO FACTORY,BK Taco Factory,Brooklyn,4.3,93,Tacos; Seafood,A
