id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
z8TIY5xLeQptbXxZp3LpsA,felice 56,4.2,141,Italian; Wine Bars,Manhattan,13.0,A
5TX0X8w5ssIACU_pnBEq6g,tony's di napoli,4.2,2874,Italian; Wine Bars; Seafood,Manhattan,13.0,A
qBGKigOGn_flCx1apxPzlA,piccola cucina osteria,4.3,866,Italian,Manhattan,13.0,A
2Nwmd7-1d1rI6lb9QSSYYA,a pasta bar,4.0,630,Italian; Bars,Manhattan,13.0,A
RPP_wHhM8yZYIP5W-YHk6Q,fumo,4.1,315,Italian; Bars; Pizza,Manhattan,13.0,A
jnHbdsqlTKlPcmJ8BCP9-g,via carota,3.8,1129,Italian,Manhattan,13.0,A
f_1BjTChf6bobreSRpqhsw,arco cafe,4.4,389,Sardinian; Pasta Shops,Manhattan,13.0,A
XHhRAKq6DArQXYhkgvwaow,spaghetti incident,4.1,689,Italian; Salad; Pasta Shops,Manhattan,13.0,A
iXV4FMZPru7BB_nwN_8mVw,maiella,4.2,1219,Italian; Seafood; Cocktail Bars,Queens,13.0,A
yQ7K4uFnxXxpBVbnOSR8kA,polpette 71,4.1,324,Italian,Manhattan,13.0,A
T-RXDLq_VEv7s1_SooYIYQ,osteria 57,4.3,366,Italian; Seafood; Vegetarian,Manhattan,13.0,A
P2CTp4xyaNCe2AXSiLeOSQ,the odeon,3.9,836,New American; French; Italian,Manhattan,13.0,A
aJJlY5xvqS180wtRIHEWqA,cotenna,3.9,503,Italian,Manhattan,13.0,A
2-GsvFaQpVpbaIdwb9lSeQ,andiamo pizza,4.5,295,Pizza; Italian; Caterers,Manhattan,13.0,A
hDj_0pbi4mFR5p1H1w6igw,misirizzi,4.4,235,Italian,Manhattan,13.0,A
xKIv_b2L2pUHmsoJ-xOepg,gran morsi,4.4,571,Italian; Venues & Event Spaces; Cocktail Bars,Manhattan,13.0,A
kzd10IXi3dTjoPw0TDj8tA,osteria nando,4.2,239,Italian; Cocktail Bars; French,Manhattan,13.0,A
wzHyRI6iW0rIY8rMb3KClA,felice,4.2,162,Italian,Manhattan,13.0,A
TUJutjq0LU6zexzM8Wia4w,arthur & sons ny italian,3.9,480,Italian,Manhattan,13.0,A
dvkQIG20RjgNi-SwRr_1CQ,mamo restaurant,4.1,400,Italian; Wine Bars; Cocktail Bars,Manhattan,13.0,A
lhLk3IWpFtEkziTLnGkvVA,ainslie bowery,3.9,94,Italian; Venues & Event Spaces; Cocktail Bars,Manhattan,13.0,A
goqTQ4tOD-asC_ZJBW9l7w,patsy's italian restaurant,4.0,1290,Italian; Southern; Wine Bars,Manhattan,13.0,A
AbJU6EQvbWS-zsU4FU5pyA,fossetta,4.4,50,Italian; Wine Bars,Manhattan,13.0,A
ntiDPLkWm6GDLkYh0d2tBw,5ive spice,4.4,147,Vietnamese; Salad; Tacos,Manhattan,13.0,A
xGNzAsakHgbbl9fwgSoiUg,kahlo,4.2,281,New Mexican Cuisine; Tacos,Manhattan,13.0,A
U6l20gH8YuOJMO8vF6_Ufw,jajaja mexicana,4.3,92,Mexican; Bars,Manhattan,13.0,A
xpHKTZy-YAZTNRErL1X6Rw,pink taco,3.9,349,Tacos; Bars; Breakfast & Brunch,Manhattan,13.0,A
SXWnyFNLCehVlJPRxk7gAg,anejo tribeca,4.1,735,Mexican; Tapas/Small Plates; Tapas Bars,Manhattan,13.0,A
iPc-zPgcpgeSo76xl5Jbpw,the maze,3.9,783,Korean; Cocktail Bars; Mexican,Manhattan,13.0,A
Jd2_ZC4ugEMSY9ElivNZgg,summer salt,4.4,229,Tacos; New Mexican Cuisine,Manhattan,13.0,A
tvqtAjAyc7dplVVwhw3VZQ,la contenta oeste,4.3,356,Mexican; Breakfast & Brunch; Cocktail Bars,Manhattan,13.0,A
